Subunits,Gene,Genotype,Condition,Interaction
SR4,CW,WT,Over-expression,-0.63695
SR4,IY,WT,Over-expression,0.500498
SR4,CW,KD,Knock-down,-0.32429876
SR4,CW,M1,Over-expression,-0.03439
SR4,CW,M2,Over-expression,0.224277
CDR5A,CW,WT,Over-expression,-0.37722
CDR5A,IY,WT,Over-expression,-1.21103
CDR5A,CW,KD,Knock-down,1.242055096
CDR5A,CW,M1,Over-expression,-0.40691
CDR5A,CW,M2,Over-expression,0.676211
IY,CW,WT,Over-expression,-0.37539
IY,IY,WT,Over-expression,2.366797
IY,CW,KD,Knock-down,-0.4059188
IY,CW,M1,Over-expression,-0.38061
IY,CW,M2,Over-expression,-0.39859
SCR9,CW,WT,Over-expression,-0.05963
SCR9,IY,WT,Over-expression,-0.7878
SCR9,CW,KD,Knock-down,0.976939116
SCR9,CW,M1,Over-expression,0.099317
SCR9,CW,M2,Over-expression,1.246501
ScA8,CW,WT,Over-expression,-0.02866
ScA8,IY,WT,Over-expression,-0.43925
ScA8,CW,KD,Knock-down,-1.2064453
ScA8,CW,M1,Over-expression,0.159584
ScA8,CW,M2,Over-expression,-0.02689
CDR5B,CW,WT,Over-expression,-0.02417
CDR5B,IY,WT,Over-expression,0.184276
CDR5B,CW,KD,Knock-down,0.620878905
CDR5B,CW,M1,Over-expression,0.063779
CDR5B,CW,M2,Over-expression,-0.45834
CMK,CW,WT,Over-expression,0.116815
CMK,IY,WT,Over-expression,-1.36789
CMK,CW,KD,Knock-down,-0.36747585
CMK,CW,M1,Over-expression,0.29864
CMK,CW,M2,Over-expression,0.596997
SCR10,CW,WT,Over-expression,0.272143
SCR10,IY,WT,Over-expression,-1.57922
SCR10,CW,KD,Knock-down,0.076270026
SCR10,CW,M1,Over-expression,-0.26089
SCR10,CW,M2,Over-expression,0.593104
SCT,CW,WT,Over-expression,0.297964
SCT,IY,WT,Over-expression,0.279858
SCT,CW,KD,Knock-down,0.427533112
SCT,CW,M1,Over-expression,0.362104
SCT,CW,M2,Over-expression,-2.35855
UKZ19,CW,WT,Over-expression,0.327977
UKZ19,IY,WT,Over-expression,1.407937
UKZ19,CW,KD,Knock-down,-1.70321185
UKZ19,CW,M1,Over-expression,-0.15114
UKZ19,CW,M2,Over-expression,-0.29537
CDM,CW,WT,Over-expression,0.329323
CDM,IY,WT,Over-expression,0.655791
CDM,CW,KD,Knock-down,1.130693679
CDM,CW,M1,Over-expression,0.008892
CDM,CW,M2,Over-expression,-1.18462
E2U,CW,WT,Over-expression,1.23322
E2U,IY,WT,Over-expression,-0.51998
E2U,CW,KD,Knock-down,-0.15958461
E2U,CW,M1,Over-expression,0.877156
E2U,CW,M2,Over-expression,0.563174
CW,CW,WT,Over-expression,1.429095
CW,IY,WT,Over-expression,-0.68513
CW,CW,KD,Knock-down,-1.42790978
CW,CW,M1,Over-expression,1.118999
CW,CW,M2,Over-expression,0.56086
